,twi,nzdperusd,nzdperukp,nzdperaud
Jun-73,,1.3272,0.5141,0.9375
Jul-73,,1.3517,0.5308,0.9546
Aug-73,,1.3436,0.5412,0.9484
Sep-73,,1.4413,0.5946,0.9802
Oct-73,,1.4805,0.6093,0.9953
Nov-73,,1.4573,0.6088,0.9797
Dec-73,,1.4331,0.6172,0.963
Jan-74,,1.385,0.6225,0.9312
Feb-74,,1.4082,0.6185,0.9471
Mar-74,,1.4358,0.6137,0.9653
Apr-74,,1.4551,0.6084,0.9785
May-74,,1.4645,0.6061,0.9846
Jun-74,,1.4544,0.608,0.9777
Jul-74,,1.4501,0.6063,0.9749
Aug-74,,1.4313,0.6098,0.9633
Sep-74,,1.4002,0.6047,0.9646
Oct-74,,1.3036,0.5582,0.9957
Nov-74,,1.3048,0.56,0.9935
Dec-74,,1.3096,0.5618,0.9923
Jan-75,,1.3221,0.5593,0.9923
Feb-75,,1.3382,0.5583,0.9907
Mar-75,,1.3485,0.5566,0.9906
Apr-75,,1.3314,0.5603,0.9906
May-75,,1.3223,0.5688,0.9847
Jun-75,,1.3132,0.574,0.9818
Jul-75,,1.2817,0.5856,0.9768
Aug-75,,1.1227,0.5292,0.8744
Sep-75,,1.06,0.5066,0.8338
Oct-75,,1.0524,0.5109,0.8319
Nov-75,,1.0522,0.5115,0.8316
Dec-75,,1.0427,0.5145,0.83
Jan-76,,1.0454,0.5141,0.8305
Feb-76,,1.0476,0.5158,0.8307
Mar-76,,1.0293,0.5274,0.8231
Apr-76,,1.0072,0.5428,0.8123
May-76,,0.9972,0.5497,0.807
Jun-76,,0.9867,0.5567,0.8019
Jul-76,,0.9947,0.5557,0.8038
Aug-76,,1.0013,0.5602,0.8049
Sep-76,,0.9935,0.5714,0.7978
Oct-76,,0.9686,0.5886,0.7839
Nov-76,,0.9611,0.5876,0.788
Dec-76,,0.9245,0.5504,0.8793
Jan-77,,0.9519,0.5543,0.8761
Feb-77,,0.9539,0.5563,0.874
Mar-77,,0.9585,0.5568,0.8716
Apr-77,,0.9628,0.5586,0.8707
May-77,,0.9617,0.5582,0.8712
Jun-77,,0.9641,0.5594,0.87
Jul-77,,0.9727,0.5637,0.8667
Aug-77,,0.9704,0.5566,0.8777
Sep-77,,0.9699,0.5551,0.8783
Oct-77,,0.9825,0.555,0.8781
Nov-77,,0.995,0.5469,0.8823
Dec-77,,1.0065,0.5442,0.8878
Jan-78,,1.0219,0.5287,0.8973
Feb-78,,1.0229,0.5266,0.8999
Mar-78,,1.0239,0.5355,0.8992
